Системы управления летательными аппаратами,05.24.06
Самолето- и вертолетостроение,05.24.07
Техническая эксплуатация и восстановление электросистем и пилотажно- навигационных комплексов боевых летательных аппаратов,05.25.02
Кораблестроение океанотехника и системотехника объектов морской инфраструктуры,03.26.02
Проектирование и постройка кораблейсудов и объектов океанотехники,05.26.01
Проектированиеизготовление и ремонт энергетических установок и систем автоматизации кораблей и судов,05.26.02
Управление качеством,03.27.02
Системный анализ и управление,03.27.03
Управление в технических системах,03.27.04
Инноватика,03.27.05
Медицинская кибернетика,05.30.03
Бизнес-информатика,03.05.38
Интеллектуальные системы в гуманитарной сфере,03.04.45
